Student_ID,Name,Branch,Semester,Attendance,Python,DBMS,DSA,Assignments,Previous_GPA,Final_Grade
1077,Divya77,CSE,3,89,63,61,70,4,8.97,C
1078,Pooja78,CSE,3,92,85,67,55,6,7.93,C
1079,Priya79,CSE,3,55,95,85,97,8,8.83,A
1080,Divya80,CSE,3,62,69,91,95,6,6.99,A
1081,Meera81,CSE,3,65,79,80,100,4,5.54,A
1082,Pooja82,CSE,3,68,90,85,98,10,6.23,A
1083,Sai83,CSE,3,77,71,38,72,9,8.28,C
1084,Varun84,CSE,3,82,48,96,46,6,7.92,C
1085,Pooja85,CSE,3,78,64,69,49,6,7.06,C
1086,Nikhil86,CSE,3,98,96,60,60,10,9.51,B
1087,Deepika87,CSE,3,96,88,81,38,4,9.62,C
1088,Arjun88,CSE,3,92,85,78,99,4,6.66,A
1089,Arjun89,CSE,3,87,95,69,43,6,8.99,C
1090,Divya90,CSE,3,69,94,92,74,8,8.75,A
1091,Nikhil91,CSE,3,71,94,75,100,5,7.87,A
1092,Priya92,CSE,3,61,82,48,93,6,9.54,B
1093,Arjun93,CSE,3,80,46,99,81,10,7.36,B
1094,Varun94,CSE,3,55,77,66,82,4,6.05,B
1095,Priya95,CSE,3,78,82,66,64,7,6.58,B
1096,Varun96,CSE,3,86,79,92,55,8,6.99,B
1097,Sneha97,CSE,3,86,62,41,56,10,5.75,D
1098,Akhil98,CSE,3,97,60,96,94,9,8.46,B
1099,Sai99,CSE,3,58,87,71,84,9,8.11,B
1100,Sai100,CSE,3,76,91,40,41,9,9.27,C
1101,Akhil101,CSE,3,62,45,78,73,7,7.25,C
1102,Sai102,CSE,3,65,96,98,95,4,7.23,A
1103,Priya103,CSE,3,97,56,54,89,6,8.8,C
1104,Akhil104,CSE,3,62,91,59,63,4,6.92,B
1105,Vikram105,CSE,3,90,43,40,63,10,9.73,D
1106,Rohan106,CSE,3,76,49,65,92,9,6.83,C
1107,Varun107,CSE,3,97,54,85,88,7,7.35,B
1108,Teja108,CSE,3,95,43,95,100,10,5.66,B
1109,Divya109,CSE,3,67,45,46,39,6,7.22,D
1110,Vikram110,CSE,3,70,95,82,72,5,8.07,B
1111,Arjun111,CSE,3,69,45,99,92,5,8.32,B
1112,Kiran112,CSE,3,93,63,91,56,10,7.38,B
1113,Divya113,CSE,3,60,93,50,41,10,6.48,C
1114,Teja114,CSE,3,70,96,67,82,10,9.02,B
1115,Priya115,CSE,3,68,100,80,39,9,8.34,B
1116,Sneha116,CSE,3,89,38,93,40,8,6.3,C
1117,Vikram117,CSE,3,84,95,70,51,4,6.1,B
1118,Priya118,CSE,3,82,76,43,98,9,7.81,B
1119,Teja119,CSE,3,65,41,64,47,9,7.07,D
1120,Sneha120,CSE,3,90,98,60,62,5,8.14,B
1121,Sai121,CSE,3,64,79,35,53,5,8.08,C
1122,Anjali122,CSE,3,64,51,92,85,4,9.39,B
1123,Sneha123,CSE,3,86,46,49,72,7,5.81,C
1124,Anjali124,CSE,3,56,80,75,53,7,7.68,C
1125,Divya125,CSE,3,83,64,52,72,10,7.57,C
1126,Sravani126,CSE,3,72,85,48,36,6,8.7,C
1127,Anjali127,CSE,3,60,98,96,49,8,6.13,B
1128,Vikram128,CSE,3,65,55,67,72,7,8.13,C
1129,Meera129,CSE,3,61,82,69,82,10,5.84,B
1130,Rahul130,CSE,3,76,45,46,37,7,8.47,D
1131,Keerthi131,CSE,3,77,73,91,89,5,6.71,B
1132,Anjali132,CSE,3,71,41,95,53,9,7.01,C
1133,Arjun133,CSE,3,56,86,70,73,9,8.12,B
1134,Kiran134,CSE,3,73,78,58,48,4,9.28,C
1135,Priya135,CSE,3,59,50,79,93,9,6.27,B
1136,Rohan136,CSE,3,98,93,91,83,9,7.66,A
1137,Harsha137,CSE,3,60,57,100,55,7,9.04,B
1138,Divya138,CSE,3,67,80,86,40,5,7.09,C
1139,Sneha139,CSE,3,93,49,38,38,8,8.51,D
1140,Divya140,CSE,3,91,53,79,73,6,8.83,C
1141,Divya141,CSE,3,56,47,87,89,9,8.91,B
1142,Sneha142,CSE,3,62,88,86,100,5,9.1,A
1143,Sai143,CSE,3,82,67,51,38,10,5.9,D
1144,Priya144,CSE,3,87,68,77,55,7,5.89,C
1145,Anjali145,CSE,3,63,70,57,60,6,7.7,C
1146,Vikram146,CSE,3,77,57,62,71,5,8.25,C
1147,Sravani147,CSE,3,86,100,86,76,7,6.45,A
1148,Akhil148,CSE,3,64,94,52,44,10,7.75,C
1149,Rohan149,CSE,3,61,65,77,86,4,8.49,B
1150,Akhil150,CSE,3,73,94,57,94,7,8.9,B
1151,Sravani151,CSE,3,57,72,74,81,10,6.98,B
1152,Kiran152,CSE,3,72,93,90,35,5,6.16,B
1153,Keerthi153,CSE,3,72,41,65,70,8,8.21,C
1154,Meera154,CSE,3,88,69,42,82,5,9.55,C
1155,Nikhil155,CSE,3,72,67,73,96,8,7.83,B
1156,Sneha156,CSE,3,100,53,81,65,7,9.56,C
1157,Priya157,CSE,3,59,57,86,68,8,7.28,B
1158,Meera158,CSE,3,97,66,42,45,5,9.69,D
1159,Varun159,CSE,3,78,38,64,74,4,7.91,C
1160,Sravani160,CSE,3,73,82,96,83,5,6.56,A
1161,Sai161,CSE,3,70,95,94,74,6,6.47,A
1162,Deepika162,CSE,3,77,59,35,84,4,7.94,C
1163,Harsha163,CSE,3,77,85,98,52,10,7.54,B
1164,Varun164,CSE,3,95,100,86,61,6,8.47,B
1165,Priya165,CSE,3,95,56,67,62,8,8.8,C
1166,Meera166,CSE,3,56,89,83,80,8,7.34,B
1167,Teja167,CSE,3,82,86,96,38,6,8.37,B
1168,Rahul168,CSE,3,82,75,94,87,9,9.62,A
1169,Akhil169,CSE,3,97,67,88,65,6,6.88,B
1170,Deepika170,CSE,3,73,71,72,52,5,8.44,C
1171,Kiran171,CSE,3,80,90,59,77,7,6.54,B
1172,Pooja172,CSE,3,90,69,70,51,6,7.23,C
1173,Teja173,CSE,3,68,55,56,92,6,7.0,C
1174,Teja174,CSE,3,56,58,79,61,9,7.12,C
1175,Anjali175,CSE,3,90,75,51,50,6,5.97,C
1176,Sravani176,CSE,3,89,79,99,96,10,8.18,A
1177,Sravani177,CSE,3,77,81,100,65,8,8.05,B
1178,Keerthi178,CSE,3,66,72,54,48,6,6.4,C
1179,Sravani179,CSE,3,80,97,59,65,10,8.61,B
1180,Akhil180,CSE,3,63,91,78,83,5,6.51,B
1181,Anjali181,CSE,3,89,64,86,95,5,7.9,B
1182,Anjali182,CSE,3,86,64,88,54,9,5.73,C
1183,Meera183,CSE,3,90,53,43,40,4,5.84,D
1184,Deepika184,CSE,3,100,95,72,64,6,7.78,B
1185,Meera185,CSE,3,67,58,83,82,6,5.98,B
1186,Meera186,CSE,3,90,78,53,73,4,7.1,C
1187,Nikhil187,CSE,3,81,90,69,57,7,6.76,B
1188,Anjali188,CSE,3,77,97,35,46,9,5.96,C
1189,Harsha189,CSE,3,58,36,72,91,8,7.4,C
1190,Pooja190,CSE,3,94,85,55,71,5,6.36,B
1191,Deepika191,CSE,3,66,88,93,49,6,6.5,B
1192,Vikram192,CSE,3,76,96,86,40,9,6.96,B
1193,Meera193,CSE,3,68,50,67,53,7,5.68,C
1194,Teja194,CSE,3,67,42,89,49,9,9.53,C
1195,Sai195,CSE,3,98,40,35,94,6,8.67,C
1196,Keerthi196,CSE,3,87,75,57,67,10,6.6,C
1197,Sneha197,CSE,3,68,49,55,93,5,7.76,C
1198,Harsha198,CSE,3,90,66,55,44,5,6.3,C
1199,Rohan199,CSE,3,92,53,79,89,5,7.64,B
1200,Deepika200,CSE,3,64,45,56,40,10,8.55,D
1201,Nikhil201,CSE,3,90,79,49,66,10,7.06,C
1202,Sneha202,CSE,3,91,81,57,91,10,6.05,B
1203,Vikram203,CSE,3,90,77,37,45,6,5.97,D
1204,Divya204,CSE,3,63,75,60,99,6,9.78,B
1205,Deepika205,CSE,3,78,46,43,38,8,8.18,D
1206,Meera206,CSE,3,72,66,35,65,5,9.03,C
1207,Sravani207,CSE,3,84,59,98,89,5,9.26,B
1208,Deepika208,CSE,3,74,45,56,74,5,7.37,C
1209,Varun209,CSE,3,88,77,55,82,7,6.5,B
1210,Anjali210,CSE,3,55,84,42,38,4,9.22,D
1211,Akhil211,CSE,3,66,41,95,70,8,9.55,C
1212,Akhil212,CSE,3,72,89,75,63,5,5.81,B
1213,Rohan213,CSE,3,83,82,97,45,7,9.64,B
1214,Teja214,CSE,3,85,55,44,66,4,6.76,C
1215,Deepika215,CSE,3,69,58,65,77,7,8.61,C
1216,Priya216,CSE,3,71,47,89,81,9,5.56,B
1217,Sneha217,CSE,3,95,54,46,94,6,6.49,C
1218,Teja218,CSE,3,95,86,94,76,7,5.85,A
1219,Divya219,CSE,3,95,56,71,37,7,5.83,D
1220,Vikram220,CSE,3,63,72,98,52,10,7.27,B
1221,Meera221,CSE,3,92,99,90,70,10,7.56,A
1222,Deepika222,CSE,3,68,41,64,53,8,7.15,D
1223,Teja223,CSE,3,95,73,48,53,4,9.1,C
1224,Kiran224,CSE,3,64,77,92,51,5,8.24,B
1225,Teja225,CSE,3,62,70,89,93,9,7.91,B
1226,Arjun226,CSE,3,79,74,85,66,10,5.58,B
1227,Varun227,CSE,3,98,46,79,82,5,9.17,C
1228,Deepika228,CSE,3,55,57,82,42,5,6.07,C
1229,Vikram229,CSE,3,97,56,76,91,10,6.3,B
1230,Teja230,CSE,3,75,56,55,61,4,7.11,C
1231,Keerthi231,CSE,3,62,77,99,45,10,7.14,B
1232,Akhil232,CSE,3,56,51,81,53,9,8.0,C
1233,Rohan233,CSE,3,83,47,37,63,6,8.05,D
1234,Varun234,CSE,3,55,79,62,39,6,8.34,C
1235,Vikram235,CSE,3,60,65,83,70,6,6.65,B
1236,Varun236,CSE,3,91,63,55,63,7,9.7,C
1237,Akhil237,CSE,3,77,70,44,63,5,7.07,C
1238,Vikram238,CSE,3,68,86,83,49,6,5.72,B
1239,Vikram239,CSE,3,99,98,78,55,6,9.2,B
1240,Kiran240,CSE,3,79,92,85,82,6,8.19,A
1241,Rohan241,CSE,3,100,78,42,50,4,7.18,C
1242,Sravani242,CSE,3,60,51,96,77,4,6.99,B
1243,Pooja243,CSE,3,86,61,35,78,9,6.28,C
1244,Keerthi244,CSE,3,93,43,73,36,7,9.75,D
1245,Rohan245,CSE,3,70,84,89,96,6,7.92,A
1246,Arjun246,CSE,3,79,70,96,71,10,7.8,B
1247,Rohan247,CSE,3,70,91,59,78,7,7.99,B
1248,Teja248,CSE,3,69,77,47,78,7,8.93,C
1249,Deepika249,CSE,3,98,99,100,39,7,9.34,B
1250,Arjun250,CSE,3,70,39,82,68,8,6.54,C
1251,Arjun251,CSE,3,89,64,98,66,4,9.55,B
1252,Sneha252,CSE,3,68,37,66,50,4,6.71,D
1253,Kiran253,CSE,3,87,50,71,93,4,7.8,B
1254,Divya254,CSE,3,90,67,93,46,7,6.81,C
1255,Akhil255,CSE,3,66,65,58,73,7,8.91,C
1256,Akhil256,CSE,3,98,84,71,84,7,9.72,B
1257,Meera257,CSE,3,71,95,65,54,6,6.22,B
1258,Rahul258,CSE,3,76,66,87,66,10,7.12,B
1259,Teja259,CSE,3,66,79,79,91,8,9.3,B
1260,Priya260,CSE,3,69,83,100,44,10,9.65,B
1261,Divya261,CSE,3,89,45,99,52,7,8.4,C
1262,Sneha262,CSE,3,87,94,87,72,8,6.3,B
1263,Varun263,CSE,3,66,83,88,68,9,9.55,B
1264,Teja264,CSE,3,60,100,77,70,9,8.31,B
1265,Vikram265,CSE,3,59,60,42,82,8,7.44,C
1266,Priya266,CSE,3,76,59,62,48,7,5.57,C
1267,Pooja267,CSE,3,57,73,44,72,7,9.46,C
1268,Arjun268,CSE,3,58,90,79,42,5,9.23,B
1269,Varun269,CSE,3,76,68,45,53,8,6.17,C
1270,Vikram270,CSE,3,78,82,72,44,4,6.8,C
1271,Keerthi271,CSE,3,69,60,95,96,8,8.68,B
1272,Arjun272,CSE,3,90,88,81,77,5,9.57,B
1273,Anjali273,CSE,3,76,61,86,53,9,6.77,C
1274,Priya274,CSE,3,68,59,42,38,10,8.71,D
1275,Meera275,CSE,3,89,51,52,51,7,8.48,D
1276,Keerthi276,CSE,3,90,49,42,37,8,5.83,D
1277,Harsha277,CSE,3,68,52,82,98,8,6.52,B
1278,Sai278,CSE,3,98,98,56,76,10,7.19,B
1279,Priya279,CSE,3,70,59,84,74,9,6.54,B
1280,Akhil280,CSE,3,68,37,87,60,4,8.51,C
1281,Arjun281,CSE,3,94,61,96,79,6,8.23,B
1282,Sneha282,CSE,3,100,81,65,52,9,8.0,C
1283,Nikhil283,CSE,3,75,41,88,45,9,6.99,C
1284,Priya284,CSE,3,92,52,100,60,7,9.56,B
1285,Arjun285,CSE,3,92,38,46,90,10,9.28,C
1286,Deepika286,CSE,3,87,55,71,77,6,7.52,C
1287,Arjun287,CSE,3,98,76,77,53,4,9.44,C
1288,Deepika288,CSE,3,72,37,75,49,10,7.05,D
1289,Sai289,CSE,3,56,77,97,75,9,8.98,B
1290,Nikhil290,CSE,3,57,95,55,95,4,6.68,B
1291,Harsha291,CSE,3,88,72,39,94,4,6.38,C
1292,Nikhil292,CSE,3,56,55,71,100,5,6.18,B
1293,Nikhil293,CSE,3,63,35,100,69,9,5.86,C
1294,Sai294,CSE,3,82,82,44,90,7,7.25,B
1295,Meera295,CSE,3,92,37,91,97,6,6.49,B
1296,Akhil296,CSE,3,75,57,79,84,8,6.19,B
1297,Anjali297,CSE,3,95,80,50,90,8,6.98,B
1298,Arjun298,CSE,3,81,68,72,52,7,9.25,C
1299,Nikhil299,CSE,3,95,86,82,37,4,7.55,C
1300,Sneha300,CSE,3,56,85,54,82,5,9.45,B
